Log Date, Departure, Arrival, Date, Flight, DepartTime, ArriveTime, Duration, Cost, Nonstop
2017-11-15 15:20:16.238940, LAS, MCI, 02/05/2018, 1691, 6:05 AM, 1:05 PM, 5h 00m, 330
2017-11-15 15:20:16.460733, LAS, MCI, 02/05/2018, 807, 6:10 AM, 1:10 PM, 5h 00m, 170
2017-11-15 15:20:16.673587, LAS, MCI, 02/05/2018, 1675, 7:00 AM, 1:10 PM, 4h 10m, 220
2017-11-15 15:20:16.899447, LAS, MCI, 02/05/2018, 805, 7:45 AM, 3:00 PM, 5h 15m, 166
2017-11-15 15:20:17.110655, LAS, MCI, 02/05/2018, 1722, 8:00 AM, 2:50 PM, 4h 50m, 220
2017-11-15 15:20:17.317052, LAS, MCI, 02/05/2018, 103, 9:25 AM, 5:00 PM, 5h 35m, 256
2017-11-15 15:20:17.543790, LAS, MCI, 02/05/2018, 1909, 11:10 AM, 3:55 PM, 2h 45m, 372, nonstop
2017-11-15 15:20:17.751790, LAS, MCI, 02/05/2018, 1456, 11:10 AM, 5:10 PM, 4h 00m, 286
2017-11-15 15:20:17.962842, LAS, MCI, 02/05/2018, 504, 2:50 PM, 9:20 PM, 4h 30m, 220
2017-11-15 15:20:18.167722, LAS, MCI, 02/05/2018, 400, 3:05 PM, 10:25 PM, 5h 20m, 170
2017-11-15 15:20:18.397062, LAS, MCI, 02/05/2018, 6078, 3:25 PM, 10:10 PM, 4h 45m, 220
2017-11-15 15:20:18.604965, LAS, MCI, 02/05/2018, 925, 3:45 PM, 10:50 PM, 5h 05m, 260
2017-11-15 15:20:18.820505, LAS, MCI, 02/05/2018, 5905, 5:35 PM, 11:25 PM, 3h 50m, 170
2017-11-15 15:20:19.024985, LAS, MCI, 02/05/2018, 1592, 6:25 PM, 11:05 PM, 2h 40m, 212, nonstop
2017-11-15 15:20:19.236772, LAS, MCI, 02/05/2018, 1927, 8:20 PM, 1:00 AM Next Day, 2h 40m, 117, nonstop
2017-11-16 08:41:49.637501, MCI, LAS, 02/02/2018, 1095, 5:25 AM, 6:40 AM, 3h 15m, 187, nonstop
2017-11-16 08:41:49.933851, MCI, LAS, 02/02/2018, 818, 6:10 AM, 9:30 AM, 5h 20m, 195
2017-11-16 08:41:50.195117, MCI, LAS, 02/02/2018, 1233, 6:40 AM, 10:35 AM, 5h 55m, 220
2017-11-16 08:41:50.480736, MCI, LAS, 02/02/2018, 1713, 6:50 AM, 10:55 AM, 6h 05m, 216
2017-11-16 08:41:50.726366, MCI, LAS, 02/02/2018, 198, 9:30 AM, 1:10 PM, 5h 40m, 260
2017-11-16 08:41:50.967131, MCI, LAS, 02/02/2018, 5456, 10:30 AM, 2:40 PM, 6h 10m, 220
2017-11-16 08:41:51.196294, MCI, LAS, 02/02/2018, 503, 11:00 AM, 1:35 PM, 4h 35m, 286
2017-11-16 08:41:51.552383, MCI, LAS, 02/02/2018, 503, 11:00 AM, 2:55 PM, 5h 55m, 195
2017-11-16 08:41:51.942245, MCI, LAS, 02/02/2018, 1760, 11:20 AM, 12:30 PM, 3h 10m, 212, nonstop
2017-11-16 08:41:52.237387, MCI, LAS, 02/02/2018, 1074, 3:00 PM, 4:10 PM, 3h 10m, 162, nonstop
2017-11-16 08:41:52.474289, MCI, LAS, 02/02/2018, 756, 3:25 PM, 7:20 PM, 5h 55m, 195
2017-11-16 08:41:52.767052, MCI, LAS, 02/02/2018, 5637, 3:55 PM, 7:05 PM, 5h 10m, 170
2017-11-16 08:41:53.014919, MCI, LAS, 02/02/2018, 865, 4:30 PM, 6:45 PM, 4h 15m, 166
2017-11-16 08:41:53.236814, MCI, LAS, 02/02/2018, 924, 5:00 PM, 8:15 PM, 5h 15m, 141
2017-11-16 08:41:53.456035, MCI, LAS, 02/02/2018, 6370, 5:05 PM, 8:25 PM, 5h 20m, 170
2017-11-16 08:41:53.687195, MCI, LAS, 02/02/2018, 204, 5:15 PM, 8:35 PM, 5h 20m, 145
2017-11-16 08:41:53.914357, MCI, LAS, 02/02/2018, 1283, 7:00 PM, 10:25 PM, 5h 25m, 141
2017-11-16 08:41:54.138353, MCI, LAS, 02/02/2018, 212, 7:25 PM, 8:40 PM, 3h 15m, 137, nonstop
2017-11-16 08:42:05.269042, LAS, MCI, 02/05/2018, 6847, 6:00 AM, 10:45 AM, 2h 45m, 137, nonstop
2017-11-16 08:42:05.524652, LAS, MCI, 02/05/2018, 1691, 6:05 AM, 1:05 PM, 5h 00m, 330
